quiz_title,quiz_description,module_id,question_text,question_type,option_1,option_2,option_3,option_4,correct_choice_index,rationale,notes
Medical Board Review Quiz,Comprehensive medical board exam preparation covering cardiovascular and endocrine systems,1,"What is the normal heart rate range for adults at rest?",multiple_choice,"40-60 bpm","60-100 bpm","100-120 bpm","120-140 bpm",1,"The normal resting heart rate for adults is 60-100 beats per minute according to the American Heart Association.","Cardiovascular System - Vital Signs"
Medical Board Review Quiz,Comprehensive medical board exam preparation covering cardiovascular and endocrine systems,1,"Which hormone is primarily responsible for regulating blood glucose levels?",multiple_choice,"Insulin","Cortisol","Thyroxine","Growth hormone",0,"Insulin is the primary hormone that regulates blood glucose by facilitating cellular glucose uptake and storage.","Endocrine System - Pancreatic Hormones"
Medical Board Review Quiz,Comprehensive medical board exam preparation covering cardiovascular and endocrine systems,1,"A patient presents with chest pain radiating to the left arm. What is the most likely diagnosis?",multiple_choice,"Myocardial infarction","Pneumonia","Gastroesophageal reflux","Muscle strain",0,"Classic presentation of MI includes chest pain radiating to left arm, jaw, or back.","Cardiology - Emergency Medicine"
Nursing Fundamentals Quiz,Essential nursing concepts and evidence-based procedures,2,"What is the correct sequence for hand hygiene using alcohol-based hand rub?",multiple_choice,"Apply, rub palms, rub backs, interlace fingers, rub thumbs, rub fingertips","Rub palms, apply, interlace fingers, rub backs, rub thumbs, rub fingertips","Apply, rub backs, rub palms, rub thumbs, interlace fingers, rub fingertips","Interlace fingers, apply, rub palms, rub backs, rub thumbs, rub fingertips",0,"The WHO 6-step technique starts with applying the hand rub, then rubbing palms together, followed by the systematic rubbing sequence.","Infection Control - Hand Hygiene"
Nursing Fundamentals Quiz,Essential nursing concepts and evidence-based procedures,2,"What is the normal range for adult blood pressure?",multiple_choice,"90/60 to 120/80 mmHg","120/80 to 140/90 mmHg","140/90 to 160/100 mmHg","160/100 to 180/110 mmHg",0,"Normal blood pressure for adults is less than 120/80 mmHg according to AHA guidelines.","Vital Signs - Cardiovascular Assessment"
Nursing Fundamentals Quiz,Essential nursing concepts and evidence-based procedures,2,"Which position is most appropriate for a patient with difficulty breathing?",multiple_choice,"Supine","Prone","Fowler's position","Trendelenburg",2,"Fowler's position (head elevated 45-60 degrees) facilitates breathing and lung expansion.","Patient Positioning - Respiratory Care"
Engineering Fundamentals Quiz,Core engineering principles and mathematical calculations,3,"What is Ohm's Law?",multiple_choice,"V = I × R","P = V × I","F = ma","E = mc²",0,"Ohm's Law states that voltage (V) equals current (I) multiplied by resistance (R). This is fundamental to electrical circuit analysis.","Electrical Engineering - Basic Laws"
Engineering Fundamentals Quiz,Core engineering principles and mathematical calculations,3,"Which material has the highest tensile strength among common construction materials?",multiple_choice,"Steel","Aluminum","Concrete","Wood",0,"Steel typically has the highest tensile strength among common construction materials, ranging from 400-2000 MPa depending on the grade.","Materials Engineering - Mechanical Properties"
Engineering Fundamentals Quiz,Core engineering principles and mathematical calculations,3,"What is the unit of force in the SI system?",multiple_choice,"Newton (N)","Joule (J)","Watt (W)","Pascal (Pa)",0,"The Newton (N) is the SI unit of force, defined as kg⋅m/s².","Physics - Units and Measurements"
Pharmacology Quiz,Drug classifications and mechanisms of action,4,"Which class of drugs is used as first-line treatment for hypertension?",multiple_choice,"ACE inhibitors","Beta blockers","Calcium channel blockers","Diuretics",0,"ACE inhibitors are often first-line treatment for hypertension due to their cardiovascular protective effects.","Pharmacology - Antihypertensive Drugs"
Pharmacology Quiz,Drug classifications and mechanisms of action,4,"What is the mechanism of action of aspirin?",multiple_choice,"COX enzyme inhibition","ACE inhibition","Beta receptor blockade","Calcium channel blockade",0,"Aspirin irreversibly inhibits cyclooxygenase (COX) enzymes, reducing prostaglandin synthesis.","Pharmacology - Anti-inflammatory Drugs"
Anatomy Quiz,Human body systems and structures,5,"Which chamber of the heart receives oxygenated blood from the lungs?",multiple_choice,"Right atrium","Right ventricle","Left atrium","Left ventricle",2,"The left atrium receives oxygenated blood from the pulmonary veins returning from the lungs.","Anatomy - Cardiovascular System"